Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,EMA_12,EMA_26,MACD,Signal,RSI,SMA_20,BB_Upper,BB_Lower,L14,H14,%K,%D,High-Low,High-Close,Low-Close,True Range,ATR,OBV,News_Sentiment
2022-11-04,136.78955078125,141.03023754059535,132.83552430474884,140.456901891493,140814800,147.4904116821289,153.85246726989746,143.60682289734814,144.70056216536764,-1.0937392680195046,-0.6979578692253554,45.91177268953184,142.99638977050782,153.65714092190402,132.33563861911162,132.83552430474884,155.4319533375391,17.498457258836694,17.871286264618174,8.194713235846507,3.973780021064101,4.220933214782406,8.194713235846507,5.600750201310599,-4224700,0.0
2022-11-07,137.32334899902344,137.55070131674174,134.1107022229699,135.53415428478314,83374600,147.00744659423827,153.74099906921387,142.6401346052982,144.15410193082363,-1.5139673255254422,-0.8611597604853729,44.96561472105581,142.9337471008301,153.71786822344762,132.14962597821255,132.83552430474884,155.4319533375391,19.860769538246885,12.68419553645706,3.4399990937718314,0.761150535491737,2.6788485582800945,3.4399990937718314,5.417176410334449,79149900,0.0
2022-11-08,137.89669799804688,139.80450887367877,135.90980476875018,138.79624280214017,89908500,146.58016021728517,153.63627967834472,141.91037512725953,143.69059052839572,-1.7802154011361893,-1.0449708886155362,45.52723805605706,142.97082595825196,153.6761012964727,132.26555062003123,132.83552430474884,155.4319533375391,22.398112930718604,19.91911324260073,3.894704104928593,2.481159874655333,1.41354423027326,3.894704104928593,5.452176922393891,169058400,0.0
2022-11-09,133.3199005126953,136.95761319516816,133.04311982943733,136.90818484099725,74917800,146.11008911132814,153.5177182006836,140.5887636480958,142.92239126797347,-2.33362761987766,-1.302702234867961,41.75649437343273,142.8106430053711,154.00673082614298,131.61455518459923,132.83552430474884,155.4319533375391,2.1435962612594284,14.80082624340831,3.9144933657308334,0.9390848028787104,4.853578168609545,4.853578168609545,5.570470866225902,94140600,0.0
2022-11-10,145.18199157714844,145.18199157714844,137.89670115296482,139.61670844683837,118854000,145.9106167602539,153.45890937805177,141.2954140987193,143.08976906865308,-1.794354969933778,-1.4010327818811246,49.8662760743141,143.01411895751954,154.22816352265642,131.80007439238267,132.83552430474884,155.4319533375391,54.63901952798348,26.393576239987173,7.285290424183614,11.862091064453123,4.576800640269511,11.862091064453123,6.051210663348464,212994600,0.0
2022-11-11,147.9794464111328,148.28588106740983,142.71070401695297,144.1440507641814,93979700,145.7524871826172,153.4163974761963,142.32372676216755,143.45196739031826,-1.1282406281507065,-1.346474351135041,50.42152420390096,143.5849395751953,154.5763863498636,132.593492800527,132.83552430474884,155.4319533375391,67.01909440530642,41.26723673151645,5.575177050456858,3.1038894902613947,2.471287560195464,5.575177050456858,6.151262364022419,306974300,0.0
2022-11-14,146.5757598876953,148.5527731206919,145.73552323030617,147.25783186642536,73374100,145.6087191772461,153.3122723388672,142.97788570455643,143.683359427161,-0.7054737226045802,-1.218274225428949,46.69191110481699,143.8867225646973,154.85758382431408,132.91586130508043,132.83552430474884,155.4319533375391,60.80711055007666,60.82174149445552,2.817249890385739,0.5733267095590975,2.2439231808266413,2.817249890385739,6.131858315658533,233600200,0.0
2022-11-15,148.31553649902344,151.82473825025608,146.85255082741247,150.47048891741846,89868300,145.5250109863281,153.19497886657717,143.79906274985905,144.02648365470637,-0.227420904847321,-1.0201035613126237,50.83208115795552,144.20937423706056,155.3083915561901,133.11035691793103,132.83552430474884,155.4319533375391,68.50645370171578,65.44421955236629,4.972187422843604,5.248978362560763,0.2767909397171593,5.248978362560763,6.2036730978158845,323468500,0.0
2022-11-16,147.07989501953125,148.14748399123684,145.5971350727314,147.41599873753398,64218300,145.38836517333985,153.07234245300293,144.30380617596245,144.25266227432303,0.0511439016394206,-0.8058540687222148,53.98781613009322,144.46481628417968,155.58207342909867,133.34755913926068,132.83552430474884,155.4319533375391,63.03814949469071,64.11723791549439,2.550348918505449,0.1680525077865979,2.718401426292047,2.718401426292047,6.029884974075886,259250200,0.0
2022-11-17,148.98773193359375,149.73899160011717,144.47024904717685,144.747029718181,80389400,145.319482421875,152.95320106506347,145.02441013867497,144.60340817500975,0.4210019636652191,-0.5604828622447281,44.59373637481372,144.8388412475586,156.0401593295229,133.6375231655943,132.83552430474884,153.40886706506188,78.51037051313888,70.01832456984847,5.268742552940324,2.659096580585924,2.6096459723544,5.268742552940324,5.510992215047624,339639600,0.0
